AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Ancient Ruins,PAGANI IMOLA,A,0:57.230,https://youtu.be/UGo16MfXI_c?si=jd1JRUbqoW90X6pz&t=442
Ancient Ruins,PAGANI HUAYRA R,B,0:58.161,https://youtu.be/3rTY90zpiE8?si=nXbmPGg_UC0dy_9w
Ancient Ruins,PEUGEOT ONYX,A,0:58.329,https://youtu.be/_urRYqB5XQg?si=geoFSw3JUlUTp3oR&t=340
Ancient Ruins,GENTY AKYLONE,A,0:58.905,https://youtu.be/2Vp6bHlatS4?t=2832
Ancient Ruins,MCLAREN 570S SPIDER,A,0:59.031,https://youtu.be/crObfEaH4nQ?t=36
Ancient Ruins,TECHRULES AT96 TRACK VERSION,A,0:59.090,https://youtu.be/crObfEaH4nQ?t=36
Ancient Ruins,PAGANI HUAYRA BC,A,0:59.101,https://youtu.be/XjMhKYTSMRI?t=19
Ancient Ruins,ARRINERA HUSSARYA 33,C,1:00.603,https://youtu.be/ttEiURvKRmI?t=7
Ancient Ruins,VENCER SARTHE,C,1:01.875,https://youtu.be/9Wj76RHx7MI?t=21
Ancient Wonders,MCLAREN SPEEDTAIL,S,0:55.436,https://youtu.be/x-C2HwztoWw?si=KDWcbO59PuLnL-yF&t=8
Ancient Wonders,MCLAREN SENNA,S,0:57.131,https://youtu.be/sQX3YmsCwFg?si=fZ71nX0U9nSZa53J
Ancient Wonders,MCLAREN F1 LM,B,0:57.873,https://youtu.be/WQyth7aJsTM?si=BGBI-2cRoxrK5gZL&t=190
Ancient Wonders,VOLKSWAGEN W12 COUPE,B,0:57.999,https://youtu.be/DUZJCpX95Ik
Ancient Wonders,PORSCHE 911 GT3 RS,B,0:58.391,https://youtu.be/_cEIDBENeiA?t=12
Ancient Wonders,LAMBORGHINI HURACAN EVO SPYDER,B,0:58.835,https://youtu.be/O-lWm6Ug3qA?t=32
Ancient Wonders,MCLAREN 650S GT3,A,0:59.429,https://youtu.be/DjuxNtFRFvY?si=Eu2BCsVqCt9MrA9-&t=593
Ancient Wonders,PORSCHE PANAMERA TURBO S,C,1:00.500,https://youtu.be/dxAnJ-RU8lA
Ancient Wonders,LAMBORGHINI GALLARDO LP 560-4,C,1:01.106,https://youtu.be/-Md46bC3qYQ
Ancient Wonders,FERRARI 599XX EVO,C,1:01.325,https://youtu.be/TQWXumppNF8?t=489
Ancient Wonders,MCLAREN GT,C,1:01.407,https://youtu.be/GINOf86tmdA?t=3
Ancient Wonders,BRABHAM BT62,C,1:01.554,https://youtu.be/N-Ak7-OcV2U?t=17
Ancient Wonders,ARRINERA HUSSARYA 33,C,1:01.695,https://youtu.be/LaKqiIG8TtQ?t=251
Arc de Triomphe,KOENIGSEGG JESKO,S,0:51.306,https://youtu.be/bUy4CwmQL_U?si=kLM61VOohHqIjsp5
Arc de Triomphe,KOENIGSEGG CCXR,S,0:52.496,https://youtu.be/VW_ZHkij7hA?si=2-hrqMuGYKBkz7tX&t=228
Arc de Triomphe,VANDA ELECTRICS DENDROBIUM,A,0:54.085,https://youtu.be/VW_ZHkij7hA?si=7utpGNdaUGeoqp-g&t=16
Arc de Triomphe,VOLKSWAGEN ELECTRIC R,D,1:01.400,https://youtu.be/mpC4ZmaJ1gY?si=nV60UtydSkF-UiDc&t=6
Arc de Triomphe,BENTLEY CONTINENTAL GT3,D,1:01.673,https://youtu.be/U0x5aS6kwy4?t=3
Arc de Triomphe,PORSCHE TAYCAN TURBO S,D,1:02.823,https://youtu.be/qhGrPBFEp_c?si=R6P7n0RlyBji6f5L&t=7
Auckland Track,KOENIGSEGG GEMERA,S,0:42.511,https://youtu.be/VI53BYwpRpI?t=23
Auckland Track,BUGATTI DIVO,S,0:43.446,https://youtu.be/R9abpxC3N_A?t=17
Auckland Track,SSC TUATARA,S,0:44.589,https://youtu.be/F3eczvSsVeo?si=LtUlz3CFlm0W-3Dj&t=323
Auckland Track,LAMBORGHINI COUNTACH LPI 800-4,A,0:44.719,https://youtu.be/Sgjz2NEtU9U?si=s6H8HG8GzYP9w3rw&t=9
Auckland Track,RIMAC CONCEPT_ONE,A,0:44.922,https://youtu.be/dWRaRI5A9qQ?si=_jwJIKs-QUGllXYB&t=5
Auckland Track,PAGANI IMOLA,A,0:44.982,https://youtu.be/tfSDR08B_sQ?si=PEApYi6Btg-mIxgW&t=8
Auckland Track,TECHRULES AT96 TRACK VERSION,A,0:45.161,https://youtu.be/_IZGj5NmMcA?si=hiK6WMO78Pc7SLMt&t=6
Auckland Track,VANDA ELECTRICS DENDROBIUM,A,0:45.489,https://youtu.be/UepM4ymgi6U?si=9KDVnAe33t-196tO&t=245
Auckland Track,GENTY AKYLONE,A,0:45.620,https://youtu.be/pmBzsTelm54?t=236
Auckland Track,PAGANI HUAYRA BC,A,0:45.875,https://youtu.be/HR4atTVvvbo
Auckland Track,LAMBORGHINI SC18,A,0:46.727,https://youtu.be/UepM4ymgi6U?si=SeNd1hhJl_vP-nli&t=301
Auckland Track,LAMBORGHINI HURACAN EVO SPYDER,B,0:46.834,https://youtu.be/E0j9xwEWGcY?si=OFKKcpwXV2usGtwA&t=427
Auckland Track,LAMBORGHINI AVENTADOR J,A,0:46.884,https://youtu.be/2ZYi63WW4rg?t=267
Beach Landing,BUGATTI BOLIDE,S,1:04.731,https://youtu.be/ggvriua0jwA?si=LHqwoU-PnQCt-_nz&t=717
Beach Landing,BUGATTI LA VOITURE NOIRE,S,1:06.609,https://youtu.be/qvWAiv2bt90?t=2
Beach Landing,RIMAC NEVERA,S,1:08.484,https://youtu.be/ThBfs-7UzHg?si=fwCPDVJ9BG2D5vlg&t=1045
Beach Landing,MCLAREN F1 LM,B,1:09.437,https://youtu.be/ernjM3zwe2w?t=29
Beach Landing,VANDA ELECTRICS DENDROBIUM,A,1:09.667,https://youtu.be/oWI0BKfJ9UY?t=6
Beach Landing,PORSCHE 911 GT3 RS,B,1:10.037,https://youtu.be/xl5L761rB0E
Beach Landing,VOLKSWAGEN W12 COUPE,B,1:10.079,https://youtu.be/Bb1CG_b2dSs?t=8
Beach Landing,NISSAN GTR-50 ITALDESIGN,B,1:10.764,https://youtu.be/9V8qudRbqig?t=25
Beach Landing,PAGANI HUAYRA R,B,1:10.890,https://youtu.be/ernjM3zwe2w?t=29
Beach Landing,ZENVO TSR-S,B,1:10.953,https://youtu.be/OXc9DTaoKUs
Beach Landing,APEX AP-0,B,1:12.010,https://youtu.be/qBOpFLyqOhw?t=3
Big Passions,VANDA ELECTRICS DENDROBIUM,A,0:41.930,https://youtu.be/wmeEeBPYI1A?si=VZFnB7_Zf7i3W6Tj&t=12
Big Passions,GLICKENHAUS 007S,A,0:42.041,https://youtu.be/OXkQE51qysM?si=fraMnXVbm3LlSFOU&t=8
Big Passions,FERRARI LAFERRARI APERTA,A,0:44.177,https://youtu.be/VnZc3a1VtBA?t=701
