TYPE,AREA,CAR_NAME,CLASS,LAP TIME,LINK
Elite A,Metropolitan,PAGANI IMOLA,A,0:54.314,https://youtu.be/NR2MLJtLPlk?si=bkV9eQQkSCeuW7-M&t=21
Elite A,Metropolitan,JAGUAR XJR-9,A,0:54.724,https://youtu.be/yu8cRYJuE9o
Elite A,Metropolitan,ASTON MARTIN VALHALLA CONCEPT CAR,A,0:54.920,https://youtu.be/wiXJY-YoX5w?t=16
Elite A,Metropolitan,LAMBORGHINI COUNTACH LPI 800-4,A,0:55.293,https://youtu.be/n391gBLLB3Y?t=12
Elite B,Wildlands,MCLAREN F1 LM,B,1:05.799,https://youtu.be/ICX6ZDUP4F8?si=BCt01N0orSwNYOHo&t=5
Elite B,Wildlands,VOLKSWAGEN W12 COUPE,B,1:08.893,https://youtu.be/kX9jd9Iq3Gs?t=9
Elite C,Dam Buster,LAMBORGHINI GALLARDO LP 560-4,C,1:20.381,https://youtu.be/rpwLrrB1T8I
Elite C,Dam Buster,MCLAREN GT,C,1:20.860,https://youtu.be/UrAiTJKOS2I?t=21
Elite C,Dam Buster,PORSCHE PANAMERA TURBO S,C,1:21.297,https://youtu.be/bt0FE_dr9q0?t=8
Elite S,Frozen Route,HENNESSEY VENOM F5,S,0:59.992,https://streamable.com/7vslu0
Elite S,Frozen Route,BUGATTI BOLIDE,S,1:01.662,https://youtu.be/Ko1CgpaxpDs?t=11
Elite S,Frozen Route,BUGATTI LA VOITURE NOIRE,S,1:03.090,https://youtu.be/OgeHsKIGq2o?si=iArrPPLgiZ47xi3C&t=1
Weekly Competition,Ancient Ruins,TVR GRIFFITH,D,1:04.961,https://youtu.be/w6d9jZi1qwg?t=2
Weekly Competition,Ancient Ruins,MAZDA FURAI,D,1:05.537,https://youtu.be/EeLoNG-vJR4?t=8
Weekly Competition,Ancient Ruins,DS AUTOMOBILES DS E-TENSE,D,1:07.977,https://youtu.be/9jbsCfO0rZA?t=16
Weekly Competition,Arc De Triomphe,VOLKSWAGEN ELECTRIC R,D,1:01.400,https://youtu.be/mpC4ZmaJ1gY?si=nV60UtydSkF-UiDc&t=6
Weekly Competition,Arc De Triomphe,BENTLEY CONTINENTAL GT3,D,1:01.673,https://youtu.be/U0x5aS6kwy4?t=3
Weekly Competition,Arc De Triomphe,PORSCHE TAYCAN TURBO S,D,1:02.823,https://youtu.be/qhGrPBFEp_c?si=R6P7n0RlyBji6f5L&t=7
Weekly Competition,Arc De Triomphe,LOTUS ELISE SPRINT 220,D,1:04.148,https://youtu.be/653qNF9A9UU?t=9
Weekly Competition,Auckland Track,VOLKSWAGEN ELECTRIC R,D,0:50.549,https://youtu.be/T0iM9ps3gYI?t=23
Weekly Competition,Auckland Track,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,0:51.871,https://youtu.be/uKnWlhSdcJk?t=8
Weekly Competition,Auckland Track,MAZDA FURAI,D,0:51.954,https://youtu.be/rC1zE4BUpUY?t=9
Weekly Competition,Auckland Track,PORSCHE TAYCAN TURBO S,D,0:52.745,https://youtu.be/QFt6dcPGKKs?t=30
Weekly Competition,Beach Landing,VOLKSWAGEN ELECTRIC R,D,1:18.955,https://youtu.be/LsrhPOylcBA?t=18
Weekly Competition,Beach Landing,PORSCHE TAYCAN TURBO S,D,1:19.490,https://youtu.be/wnZQ_kqb8Uw?t=18
Weekly Competition,Beach Landing,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:19.674,https://youtu.be/JYj69wh3yRU?t=9
Weekly Competition,Beach Landing,BENTLEY CONTINENTAL GT3,D,1:19.744,https://youtu.be/EwQLnrVVC8M?t=10
Weekly Competition,Beach Landing,GLICKENHAUS 004C,D,1:19.835,https://youtu.be/7h9808KBAjI?t=4
Weekly Competition,Beach Landing,TVR GRIFFITH,D,1:20.461,https://youtu.be/PnQr-5IjYbE?t=11
Weekly Competition,Beach Landing,GINETTA G60,D,1:20.851,https://youtu.be/wyqbDib__5o?t=6
Weekly Competition,Beach Landing,HONDA CIVIC TYPE-R,D,1:20.889,https://youtu.be/mex2zOddbws?t=9
Weekly Competition,Beach Landing,LOTUS ELISE SPRINT 220,D,1:21.548,https://youtu.be/c6Wxz99-ERQ?t=8
Weekly Competition,Canyon Launch,GLICKENHAUS 004C,D,1:17.478,https://youtu.be/j2GGz8yNg0E
