Thousand Minarets
Saint Peter Kickoff
Canyon Launch
Arc de Triomphe
City by the Bay
Dipping Down
Pudong Rise
The Cave
Metropolitan
Sacred Heart
Desert Life
Leaps & Bounds
Fire and Ice
Ancient Wonders
Landslide
Side View
Gold Rush
Roller Coaster Ride
Nanjing Stroll
Ancient Ruins
Bridges of Paris
Paradise Resort
Long Run
Uptown
Auckland Track
Football & Politics
Cliffhanger
Volcano run
Rolling motorway
To the docks
Hairpin sprint
Sakura Castle
Beach Landing
Desert Run
Big Passions
Shen City
Under Construction
Downtown Rise
Tiber Stream
Future Road
Metro
Journey to the Center
Snow Vault
Path of Wind
Whirlwind Curve
Nile River
Harbor Run
Zeppelin Race
Cairo Tower Finish
Lighthouse
Frozen Route
Pearl of Orient
The City that Never Sleeps
Pier Pressure
Slippery When Icy
Winding Road
Reach for the Sky
Islet Race
Purple Boulevard
Bread and Circuses
Time Travel
To the Eiffel
Roller Coaster
Through the center
The Enchanted Island
Parasol Run
Icy Loop
Straights & Hairpins
Dam Buster
Transcontinental Race
Streets of SF
Starting Grid
Crosstown
Hotel Road
Top Run
Straight & Hairpins
